Symbol,Name,Industry,Market Cap,Sector,Country
SEM,Select Medical Holdings Corporation,Health Care Providers & Services,3206892776.0,Healthcare,United States
SEMR,"Semrush Holdings, Inc.",Software,1495617663.0,Technology,United States
SENEA,Seneca Foods Corporation,Food Products,484678930.0,Consumer Defensive,United States
SENEB,Seneca Foods Corporation,Food Products,484538902.0,Consumer Defensive,United States
SENS,"Senseonics Holdings, Inc.",Health Care Equipment & Supplies,523487199.0,Healthcare,United States
SERA,"Sera Prognostics, Inc.",Diagnostics & Research,47020592.0,Healthcare,United States
SES,SES AI Corporation,Auto Parts,2365461756.0,Consumer Cyclical,United States
SESN,"Sesen Bio, Inc.",Biotechnology,104180047.0,Healthcare,United States
SEV,Sono Group N.V.,Auto Manufacturers,248225472.0,Consumer Cyclical,Germany
SEVN,Seven Hills Realty Trust,REIT-Mortgage,155605086.0,Real Estate,United States
SF,Stifel Financial Corp.,Capital Markets,6765508086.0,Financial Services,United States
SFBC,"Sound Financial Bancorp, Inc.",Banks,96807910.0,Financial Services,United States
SFBS,"ServisFirst Bancshares, Inc.",Banks,4383949800.0,Financial Services,United States
SFE,"Safeguard Scientifics, Inc.",Capital Markets,69252301.0,Financial Services,United States
SFET,Safe-T Group Ltd.,Software,15630507.0,Technology,Israel
SFIX,"Stitch Fix, Inc.",Internet & Direct Marketing Retail,899108538.0,Consumer Cyclical,United States
SFL,SFL Corporation Ltd.,"Oil, Gas & Consumable Fuels",1558698873.0,Industrials,Bermuda
SFM,"Sprouts Farmers Market, Inc.",Food & Staples Retailing,2866641397.0,Consumer Defensive,United States
SFNC,Simmons First National Corporation,Banks,3334290156.0,Financial Services,United States
SFST,"Southern First Bancshares, Inc.",Banks,356133630.0,Financial Services,United States
SFT,"Shift Technologies, Inc.",Internet Retail,86441015.0,Consumer Cyclical,United States
SG,"Sweetgreen, Inc.",Insurance,2069474927.0,Consumer Cyclical,United States
SGA,"Saga Communications, Inc.",Media,139699524.0,Communication Services,United States
